Serial,Event,Code_County,County,Code_District,District,Code_Division,Division,Date_YMD,Cause,Description_of_Cause,Source,Magnitude,GLIDEnumber,Other_sectors,DataCards,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Victims,Affected,Relocated,Evacuated,Losses_$USD,Losses_$Local,Education_centers,Hospitals,Damages_in_crops_Ha,Lost_Cattle,OBJECTID
Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,0
856,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,03/24/2011 07:00:00 AM +0000,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537
859,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311008,MAU NAROK,11/14/2011 08:00:00 AM +0000,Error,a lorry faied brakes before it landed in a ditch ,KPR,,,Motor vehicles were damaged,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,538
860,TRAFFIC ACCIDENT,3,BUNGOMA,301,BUNGOMA EAST,30103,CHWELE,11/18/2011 08:00:00 AM +0000,Error,school bus lost control and rolled several times,,,,Motor vehicle was damaged,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,539
862,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,280504,LIKONI,06/06/2011 07:00:00 AM +0000,Error,Motor cycle knocked down by motor vehicle.,KPR,,,Motor vehicle and motor cycle were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540
864,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130103,KIKUYU,06/06/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a car,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,541
867,TRAFFIC ACCIDENT,27,MIGORI,2706,KURIA,270602,KEHANCHA,06/06/2011 07:00:00 AM +0000,Error,2 pillion passengers fell from motor cycle,KPR,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,542
868,TRAFFIC ACCIDENT,27,MIGORI,2707,MIGORI,270705,RONGO,06/05/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543
869,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,06/06/2011 07:00:00 AM +0000,Hit and Run,Pedal cyclist was knocked down by an unknown car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
872,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,06/07/2011 07:00:00 AM +0000,Hit and Run,Motor cyclist knocked down by a car,KPR,,,Motor cycle was damaged.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,545
874,TRAFFIC ACCIDENT,6,GARISSA,601,GARISSA,,,06/06/2011 07:00:00 AM +0000,Hit and Run,Driver veered off the road and hit two juveniles ,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,546
875,TRAFFIC ACCIDENT,11,KEIYO-MARAKWET,1105,KEIYO,,,06/07/2011 07:00:00 AM +0000,Hit and Run,Pedal cyclist was knocked down by a saloon car,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,547
876,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,,,06/08/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548
877,TRAFFIC ACCIDENT,20,LAIKIPIA,2008,LAIKIPIA WEST,200801,CENTRAL LAIKIPIA,06/09/2011 07:00:00 AM +0000,Error,Self involved road traffic accident,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
878,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,,,06/08/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550
879,TRAFFIC ACCIDENT,26,MERU,2609,MERU NORTH,260912,TIGANIA CENTRAL,06/08/2011 07:00:00 AM +0000,Error,Driver lost control and overturned on the middle of the road,KPR,,,Lorry was damaged,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,551
880,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,,,06/09/2011 07:00:00 AM +0000,Error,Man was knocked down by train,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552
882,TRAFFIC ACCIDENT,2,BOMET,202,BOMET,,,06/08/2011 07:00:00 AM +0000,Error,Motor cyclist knocked down by motor vehicle.,KPR,,,Motor cycle was damaged.,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553
883,TRAFFIC ACCIDENT,12,KERICHO,1206,KERICHO,120605,LONDIAN,06/08/2011 07:00:00 AM +0000,Error,Canter rammed into a matatu which lost control and rolled ,KPR,,,,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,554
884,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,06/08/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a matatu,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555
886,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,100401,IKOLOMANI,06/08/2011 07:00:00 AM +0000,Error,Pedestrian fell and was overrun by rear tyre while alighting,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556
